County Name,County Code,Health Topic Number,Health Topic,Indicator ID,Indicator Name,Date Year,Trend Data County Value,Three Year Average County Value
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,666.2,666.4
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,675.8,668.8
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,676.1,672.9
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,661.9,665.9
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,669.7,665.5
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,669.7,689.9
Cattaraugus,4,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,747.7,701.8
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,590.3,604.2
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,670.1,646.4
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,699.2,677.6
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,674.3,696.1
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,726.1,706.4
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,730.4,718.2
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,708.0,720.1
Cayuga,5,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,719.4,712.1
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,712.6,721.6
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,693.2,700.9
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,715.0,706.4
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,719.6,726.5
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,753.1,724.4
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,720.3,732.9
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,752.1,736.8
Chautauqua,6,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,759.7,749.6
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,605.2,645.9
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,652.0,623.8
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,637.2,658.2
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,701.1,683.0
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,728.6,718.7
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,738.0,738.5
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,759.2,723.1
Chemung,7,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,695.4,689.0
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,732.2,699.0
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,664.4,711.7
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,751.9,712.5
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,740.2,743.5
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,747.2,726.8
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,696.0,756.5
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,833.6,735.7
Chenango,8,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,688.1,741.5
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,609.8,608.2
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,593.3,615.7
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,653.6,619.0
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,614.4,619.6
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,606.2,625.3
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,660.1,654.1
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,702.8,684.6
Clinton,9,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,704.7,657.0
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,671.4,675.8
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,727.5,709.2
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,743.3,740.2
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,755.0,741.2
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,743.0,767.7
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,812.4,777.5
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,790.3,822.3
Columbia,10,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,872.7,820.3
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,595.5,582.8
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,550.6,567.9
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,564.2,568.5
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,606.7,596.7
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,644.9,626.2
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,639.7,653.2
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,689.4,683.4
Cortland,11,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,734.0,657.7
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,716.6,676.6
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,678.4,712.5
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,749.6,720.2
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,742.0,745.3
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,755.6,735.2
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,719.0,724.0
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,714.9,754.2
Delaware,12,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,845.4,771.9
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,584.9,590.4
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,592.5,588.9
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,609.7,589.4
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,587.9,594.7
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,606.4,600.9
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,627.6,607.9
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,607.5,626.8
Dutchess,13,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,665.5,617.0
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,698.9,691.2
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,685.4,683.3
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,682.0,685.9
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,701.5,695.9
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,716.2,701.2
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,700.6,706.3
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,715.3,714.8
Erie,14,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,741.3,704.5
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,729.5,642.8
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,661.8,697.2
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,713.9,706.5
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,769.3,711.2
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,690.2,725.6
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,732.9,684.8
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,635.2,726.2
Essex,15,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,808.4,670.0
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,540.4,519.7
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,521.1,539.5
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,561.0,563.3
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,621.3,576.2
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,557.9,617.5
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,687.4,636.3
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,673.6,675.3
Franklin,16,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,680.6,617.7
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,678.0,673.5
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,737.3,722.3
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,768.9,748.3
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,743.5,745.4
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,725.6,725.9
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,713.6,738.3
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,784.7,770.5
Fulton,17,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,817.5,761.6
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,674.8,674.5
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,661.5,653.9
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,653.0,660.4
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,677.3,665.3
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,668.8,688.4
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,724.6,699.4
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,711.2,723.6
Genesee,18,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,745.5,724.2
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,707.0,714.4
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,729.1,736.0
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,787.8,739.6
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,722.2,751.0
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,751.7,750.2
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,780.5,756.1
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,732.1,790.8
Greene,19,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,860.0,789.9
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,1065.4,952.8
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,924.4,981.7
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,978.1,989.6
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,1085.3,1044.9
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,1075.5,1055.5
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,1027.5,995.6
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,898.3,1009.9
Hamilton,20,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,1126.6,974.6
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,644.2,648.6
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,664.4,673.5
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,720.7,700.2
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,734.2,735.5
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,764.0,735.7
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,712.3,731.0
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,723.8,701.5
Herkimer,21,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,678.0,686.7
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,440.8,468.6
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,468.5,474.2
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,525.9,512.3
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,551.5,549.8
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,593.9,569.7
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,573.6,588.5
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,601.3,596.9
Jefferson,22,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,624.6,594.2
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,656.7,587.1
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,526.4,613.5
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,675.4,633.9
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,719.3,666.4
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,600.4,653.3
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,642.7,632.1
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,664.1,654.6
Lewis,23,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,660.9,658.1
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,551.9,574.4
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,628.8,580.4
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,569.1,611.3
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,649.9,620.5
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,651.6,643.6
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,636.2,659.7
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,700.1,684.3
Livingston,24,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,717.1,684.1
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,611.7,601.0
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,625.8,616.6
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,624.3,606.6
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,576.2,629.2
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,699.0,643.1
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,664.9,660.1
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,619.6,627.6
Madison,25,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,601.1,615.9
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,564.0,582.6
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,597.6,580.3
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,587.6,595.5
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,610.8,606.1
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,631.0,631.1
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,657.3,644.0
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,647.8,657.4
Monroe,26,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,672.2,653.1
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,737.6,676.9
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,622.6,674.2
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,668.5,648.1
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,675.7,664.0
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,661.0,688.5
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,743.9,728.4
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,785.8,768.6
Montgomery,27,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,780.1,718.1
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,633.2,644.4
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,659.7,638.3
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,637.6,646.4
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,658.0,646.3
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,663.9,654.5
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,656.6,658.4
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,674.0,670.6
Nassau,28,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,691.8,656.5
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,653.0,684.3
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,736.9,697.1
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,723.7,730.9
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,744.0,732.5
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,739.3,749.7
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,782.8,758.0
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,762.7,788.6
Niagara,29,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,825.5,782.5
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,670.1,637.3
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,601.8,636.5
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,648.7,639.5
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,676.8,664.6
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,675.9,679.2
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,694.0,689.3
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,707.8,695.6
Oneida,30,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,690.1,669.3
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,611.5,614.6
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,605.1,614.1
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,634.1,624.6
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,648.2,637.2
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,639.3,644.7
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,655.0,649.5
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,660.1,666.8
Onondaga,31,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,690.9,658.3
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,603.7,631.7
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,673.5,635.6
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,639.7,658.8
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,676.2,670.1
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,702.2,702.7
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,736.9,744.6
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,796.6,767.9
Ontario,32,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,774.7,759.0
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,511.6,507.0
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,526.7,528.3
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,563.2,537.6
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,530.4,535.1
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,526.7,524.2
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,535.9,531.7
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,547.1,534.8
Orange,33,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,533.1,527.7
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,658.6,643.9
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,635.5,651.0
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,685.1,651.4
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,636.8,667.2
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,698.2,690.4
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,739.9,744.2
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,803.3,769.6
Orleans,34,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,778.2,749.4
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,569.6,596.0
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,623.1,599.9
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,626.6,624.3
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,628.9,639.6
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,668.7,663.0
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,705.0,681.7
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,682.4,694.3
Oswego,35,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,701.3,682.7
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2012,698.1,644.8
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2013,640.0,652.6
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2014,641.0,636.6
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2015,633.1,651.1
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2016,690.1,671.4
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2017,700.5,688.3
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2018,685.3,689.4
Otsego,36,1,Cancer Indicators,g1,"All cancer incidence rate per 100,000",2019,699.3,681.4
